label,description,example
activates,"convert (something, such as a provitamin) into a biologically active derivative",
actuates,"cause to act in a particular way; motivate",
causes,"make happen",
controls,"determine the behaviour or supervise the running of",
directs,"control the operations of; manage or govern",
enhances,"intensify, increase, or further improve the quality",
facilitates,"make (an action or process) easy or easier",
forces,"make something happen",
increases,"become or make greater in size, amount, or degree",
induces,"bring about or give rise to","none of these measures induced a change of policy"
initiates,"cause (a process or action) to begin","he proposes to initiate discussions on planning procedures"
overproduces,"produce an excessive amount","if soils are too fertile, the vines can overproduce, leading to vegetal aromas and flavors"
promotes,,
provokes,"call forth an action",
stimulates,"excite to activity or growth or to greater activity transactivate","induce an increased rate of gene expression triggered either by biological processes"
triggers,"initiate or set off",
produces,"cause (a particular result or situation) to happen or exist",
upregulates,"increase the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by upregulation",
constrains,"severely restrict the scope, extent, or activity of",
degrades,"break down or deteriorate chemically",
destroys,"end the existence of something by damaging or attacking it",
downregulates,"lower the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by downregulation",
hinders,"make it difficult for something to happen",
inactivates,"make inactive or inoperative",
inhibits,"hinder, restrain, or prevent (an action or process)"
interrupts,"stop the continuous progress of (an activity or process)",
limits,"curtail or reduce in quantity or extent",
reduces,"diminish in size, amount, extent, or number",
repress,"inactivate (a gene or formation of a gene product)",
shuts,"cause to cease or suspend an operation or activity",
suppress,"inhibit the genetic expression of",
associates,"combine or join with other parts",
phosphorylates,"introduce a phosphate group into (a molecule or compound)",
is,"to show a permanent or temporary quality, state",
mentions,"refer to something"
reverts,"return to previous state"
secretes,"(of a cell, gland, or organ) produce and discharge (a substance)","insulin is secreted in response to rising levels of glucose in the blood"
binds to,"to combine with, form a bond with, or be taken up by a chemical or chemical structure", "An enzyme is structured in such a way as to be able to bind with its substrate"
